#OTUID	taxonomy	confidence
1b98b00b0fc819488d76aa0c09d57bcc	ASV34d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia_miricola	0.9999999999928235
38c27ceaed634984c1225a82648cf571	ASV14d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_AP	0.999999999940286
d32e579b3ae7b2aae8d5bf9f027c29af	ASV31d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Delftia;s__Delftia_acidovorans	0.9997874959683446
4d72007c70f4abc0bf9e8fe8b826d07d	ASV29d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_braakii	0.9998470574270147
a8f4dc7d191848709966aa2ab1b26d3a	ASV5d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Chromobacterium;s__Chromobacteriumsp002213445	0.999814609688132
63afe8e6aac58bf0d670a82ca5bc574c	ASV30d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia_A;s__Serratia_Afonticola	0.9993727878233537
20b3df08cd5fac2be26a2928155bab69	ASV32d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__	0.9999997775070105
5b6f8fbabd1b7998dbb4a567c9f07876	ASV17d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__	0.9657907952903053
6f822cdec4de1f76dd5eecff061d7889	ASV2d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__	0.9997643668312362
16da9716b4d7c3c9c904f3f799d67dfe	ASV10d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas_B;s__	0.9970705775159235
0e4b96294f2a2985a5d7fd8c87f7ce6d	ASV19d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__	0.9997226468490268
3cd9ce63f826137d18ca1a11155a21ad	X391_Actinobacteria;Actinomycetales;Microbacteriaceae;Leifsonia	0.9999999999999574
ca8c1cfd11ff0a6977f6772630a85de3	ASV11d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__Aquitaleapelogenes	0.9952091728708448
90d281aaf588bad4be3327bfc03d6249	X491_Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea	0.9972158398401451
2743823e7602e70cfa467627e69d2774	ASV8d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__	0.9999999918387914
eee283d6984c1b32fdba53e16f71a997	ASV16d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__	0.9942733494979061
17f5a48986ee11c3fc2b99d8e5ff4b1c	X120_Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.9999998918087899
1fdb7e29b3167fdd0ede151451212f6f	ASV17d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__	0.9678556007632851
5973d54802da43279559a7929cea0976	ASV2d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__	0.9997204408620034
2bd85ad24d534b6e4a92669a8fbbdde7	ASV5d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Chromobacterium;s__Chromobacteriumsp002213445	0.999748480758378
096261a46789e7ae7ffdcf846d7ad21a	ASV14d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_AP	0.9999999998391047
f36c50279a8fa1c121cb9dda1ab1cb42	ASV27d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Xylophilus;s__	0.9972725806190681
7ead17a076e7b7b419bf50abe7eee3f4	ASV33d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea;s__	0.9999999922336542
f29b89dd23d2ccee265e62820f4ce2dd	ASV19d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__	0.9996701616000696
6cdcc53246e5f0f5a8af3c6419d85ba3	ASV29d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_braakii	0.9998507982606643
d66cecf6c25c6b75a33c691faa11179b	ASV22d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia_B;s__	0.9995525046192401
6d833a0874400d99502fbd678531f2f4	ASV21d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella;s__	0.9999999998571525
e8bb6406c26e82601389be2af0094397	ASV28d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__	0.9993114021772054
3f4de7299c681789f0e7fe61d26287be	ASV30d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia_A;s__Serratia_Afonticola	0.9993572414826544
2dbd50791610acb10e6ab93a35bb7d00	X263_Sphingobacteriia;Sphingobacteriales;Chitinophagaceae; Chitinophaga	0.9999999999887166
f4801b7a68515d9005fa572ee6afdf41	ASV6d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__	0.9991830111175816
0570c84f935d2629220c236852a3a1f3	X491_Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea	0.9972401390907155
cc3cdd2ff9769ffe23e1c9cb097e0af8	ASV7d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__	0.9994632983370688
ef908132a25e4a728cd453e1dbf79049	X120_Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.9999998762680141
a537d8bab85c83b0e74c73c55790324b	ASV9d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	0.9999999948912688
5a4246990631504f0bc0fb9686efcd47	X263_Sphingobacteriia;Sphingobacteriales;Chitinophagaceae; Chitinophaga	0.9999999999695603
4f0da7a3a56ffe4e61ce16fe1e9c3808	ASV28d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__	0.999273730094375
4a0288da6dea7adf31d74bc640180929	ASV16d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__	0.9926679908033976
3d96c64e3b9e580eb29268825e31f349	ASV34d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia_miricola	0.9999999999942304
3ffe4fa79f5c659b393641a6afd7803b	ASV11d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__Aquitaleapelogenes	0.9957657904877664
b7b99540bd0d50d57355b76de20fe021	ASV29d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_braakii	0.9998820489999205
26f1fcb38460fa507114f7fdf430511a	X263_Sphingobacteriia;Sphingobacteriales;Chitinophagaceae; Chitinophaga	0.9999999999833165
7436bf4d56530a59f8e782185d85ab3c	ASV14d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_AP	0.9999999999207176
50b8431ae94b2dbc23084ef450a195c0	ASV22d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia_B;s__	0.9995793345266499
ae51ad295debf809ea6477b586961fdf	X263_Sphingobacteriia;Sphingobacteriales;Chitinophagaceae; Chitinophaga	0.9999999999888161
31233bd6e5b9d3c278f1abdaa478c6cd	ASV30d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia_A;s__Serratia_Afonticola	0.9991891927512043
9cfe8ec45ec1134503d96a9bf1c5fa21	Unassigned	0.3755267979046265
28d20ea1846d2f3480eba00d905c5499	ASV14d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_AP	0.9999999997371418
818441f4b2d45cc69acae1047e7eb019	Unassigned	0.6333237764847706
ae6f46c69e48e2c4267d74a0a131d1d6	ASV34d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia_miricola	0.9999999999759552
76b8f6693959f85d6a62b66921f6607f	ASV14d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_AP	0.9999999997390887
02f8ba6032c5c46a4f705b7244cc6b5f	ASV14d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_AP	0.9999999989654071
6c786ca5ecec5db89d1d77b2c316ae37	ASV14d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_AP	0.9999999992374171
73d45d06f386876c8b497d470f7c6ca5	X263_Sphingobacteriia;Sphingobacteriales;Chitinophagaceae; Chitinophaga	0.999999999970143
4f18027af20e6a341b2bafab1f70d8e9	ASV5d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Chromobacterium;s__Chromobacteriumsp002213445	0.9998130984095446
adcd1b34d81fc1db91012be7b11e934f	ASV29d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_braakii	0.9998165716745636
db7c55bf3fbebf87378d18fc9ea7cf91	Unassigned	0.8120695541441696
84ad11e2ed0053b18b28a5f64631125b	ASV34d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia_miricola	0.9999999999743778
abe42fb7e8aaf5b506a27925ae5a4deb	ASV34d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia_miricola	0.9999999999232188
cdc1c851e6ec336b44496bbf003d4d3c	ASV34d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia_miricola	0.9999999999888303
